College,Required Certificate,Associates,Bachelors,Cerificate,Class,Course Code,Credit count,,,College,Associates degree,Certificates possible,Advanced Certificate,required course,class code,General Education courses,Electives,Bachelors,,,Note
BYU-I,,,Applied Business Management,Administrative Assistant,Business Applications,BUS 115,3,,,BYU-I, Applied Business Management ,Administrative Assistant,Business and Leadership Skills,Applied Learning Project,BUS 298R,18,9,Applied Business Management,,,Certificate of Basic accounting has to different elligability option
BYU-I,,#REF!,Applied Business Management,Administrative Assistant,Office Procedures,BUS 129,3,,,BYU-I, Applied Business Management ,Agribusiness Management,Business and Leadership Skills,Applied Learning Project,BUS 298R,18,9,Applied Business Management ,,,
BYU-I,,#REF!,Applied Business Management,Administrative Assistant,Word Processing I,BUS 240,3,,,BYU-I, Applied Business Management ,Basic Accounting,Business and Leadership Skills,Applied Learning Project,BUS 298R,18,9, Applied Business Management ,,,Any advanced degree requires a specific certificate to be completed beforehand
BYU-I,,#REF!,Applied Business Management,Administrative Assistant,The Cycle of Cash,BUS 180,2,,,BYU-I, Applied Business Management ,Commercial Fundamentals,Business and Leadership Skills,Applied Learning Project,BUS 298R,18,9, Applied Business Management ,,,
BYU-I,,#REF!,Applied Business Management,Administrative Assistant,Visual Media,COMM 130,3,,,BYU-I, Applied Business Management ,Construction Field Supervision,Business and Leadership Skills,Applied Learning Project,BUS 298R,18,9, Applied Business Management ,,,Certificate of Construction Field Supervision
BYU-I,,#REF!,Applied Business Management,Administrative Assistant,Career Development,GS 170,1,,,BYU-I, Applied Business Management ,Entrepreneurship,Business and Leadership Skills,Applied Learning Project,BUS 298R,18,9, Applied Business Management ,,,"This is an introductory certificate. Note: in order to start this certificate, students  "
BYU-I, Family History Research., Family History Research,Professional Studies ,Advanced Family History Research,Genealogical Writing,FHGEN340,3,,,BYU-I, Applied Business Management ,Hospitality and Tourism Management,Business and Leadership Skills,Applied Learning Project,BUS 298R,18,9, Applied Business Management ,,,must have at least three years experience in a construction field. If you meet the
BYU-I, Family History Research., Family History Research,Professional Studies ,Advanced Family History Research,U.S. Geographic Specialization,FHGEN351,3,,,BYU-I, Applied Business Management ,Medical Billing and Coding Fundamentals,Business and Leadership Skills,Applied Learning Project,BUS 298R,18,9, Applied Business Management ,,,"experience requirement, request an authorization to register for the courses."
BYU-I, Family History Research., Family History Research,Professional Studies ,Advanced Family History Research,Introductory Genetic Genealogy,FHGEN352,3,,,BYU-I, Applied Business Management ,Project Management,Business and Leadership Skills,Applied Learning Project,BUS 298R,18,9, Applied Business Management ,,,
BYU-I, Family History Research., Family History Research,Professional Studies ,Advanced Family History Research,Research Methodology,FHGEN411,3,,,BYU-I, Applied Business Management ,Social Media Marketing,Business and Leadership Skills,Applied Learning Project,BUS 298R,18,9, Applied Business Management ,,,
